x,y,color
0,0,#FFFFFF
1,0,#FFFFFF
2,0,#FFFFFF
3,0,#FFFFFF
4,0,#FFFFFF
5,0,#FFFFFF
6,0,#FFFFFF
7,0,#FFFFFF
8,0,#FFFFFF
9,0,#FFFFFF
10,0,#FFFFFF
11,0,#FFFFFF
12,0,#FFFFFF
13,0,#FFFFFF
14,0,#FFFFFF
15,0,#FFFFFF
16,0,#FFFFFF
17,0,#FFFFFF
18,0,#FFFFFF
19,0,#FFFFFF
20,0,#FFFFFF
21,0,#FFFFFF
22,0,#FFFFFF
23,0,#FFFFFF
24,0,#FFFFFF
25,0,#FFFFFF
26,0,#FFFFFF
27,0,#FFFFFF
28,0,#FFFFFF
29,0,#FFFFFF
30,0,#FFFFFF
31,0,#FFFFFF
32,0,#FFFFFF
33,0,#FFFFFF
34,0,#FFFFFF
35,0,#FFFFFF
36,0,#FFFFFF
37,0,#FFFFFF
38,0,#FFFFFF
39,0,#FFFFFF
40,0,#FFFFFF
41,0,#FFFFFF
42,0,#FFFFFF
43,0,#FFFFFF
44,0,#FFFFFF
45,0,#FFFFFF
46,0,#FFFFFF
47,0,#FFFFFF
48,0,#FFFFFF
49,0,#FFFFFF
50,0,#FFFFFF
51,0,#FFFFFF
52,0,#FFFFFF
53,0,#FFFFFF
54,0,#FFFFFF
55,0,#FFFFFF
56,0,#FFFFFF
57,0,#FFFFFF
58,0,#FFFFFF
59,0,#FFFFFF
60,0,#FFFFFF
61,0,#FFFFFF
62,0,#FFFFFF
63,0,#FFFFFF
0,1,#FFFFFF
1,1,#FFFFFF
2,1,#FFFFFF
3,1,#FFFFFF
4,1,#FFFFFF
5,1,#FFFFFF
6,1,#FFFFFF
7,1,#FFFFFF
8,1,#FFFFFF
9,1,#FFFFFF
10,1,#FFFFFF
11,1,#FFFFFF
12,1,#FFFFFF
13,1,#FFFFFF
14,1,#FFFFFF
15,1,#FFFFFF
16,1,#FFFFFF
17,1,#FFFFFF
18,1,#FFFFFF
19,1,#FFFFFF
20,1,#FFFFFF
21,1,#FFFFFF
22,1,#FFFFFF
23,1,#FFFFFF
24,1,#FFFFFF
25,1,#FFFFFF
26,1,#FFFFFF
27,1,#FFFFFF
28,1,#FFFFFF
29,1,#FFFFFF
30,1,#FFFFFF
31,1,#FFFFFF
32,1,#FFFFFF
33,1,#FFFFFF
34,1,#FFFFFF
35,1,#FFFFFF
36,1,#FFFFFF
37,1,#FFFFFF
38,1,#FFFFFF
39,1,#FFFFFF
40,1,#FFFFFF
41,1,#FFFFFF
42,1,#FFFFFF
43,1,#FFFFFF
44,1,#FFFFFF
45,1,#FFFFFF
46,1,#FFFFFF
47,1,#FFFFFF
48,1,#FFFFFF
49,1,#FFFFFF
50,1,#FFFFFF
51,1,#FFFFFF
52,1,#FFFFFF
53,1,#FFFFFF
54,1,#FFFFFF
55,1,#FFFFFF
56,1,#FFFFFF
57,1,#FFFFFF
58,1,#FFFFFF
59,1,#FFFFFF
60,1,#FFFFFF
61,1,#FFFFFF
62,1,#FFFFFF
63,1,#FFFFFF
0,2,#FFFFFF
1,2,#FFFFFF
2,2,#FFFFFF
3,2,#FFFFFF
4,2,#FFFFFF
5,2,#FFFFFF
6,2,#FFFFFF
7,2,#FFFFFF
8,2,#FFFFFF
9,2,#FFFFFF
10,2,#FFFFFF
11,2,#FFFFFF
12,2,#FFFFFF
13,2,#FFFFFF
14,2,#FFFFFF
15,2,#FFFFFF
16,2,#FFFFFF
17,2,#FFFFFF
18,2,#FFFFFF
19,2,#FFFFFF
20,2,#FFFFFF
21,2,#FFFFFF
22,2,#FFFFFF
23,2,#FFFFFF
24,2,#FFFFFF
25,2,#FFFFFF
26,2,#FFFFFF
27,2,#FFFFFF
28,2,#FFFFFF
29,2,#FFFFFF
30,2,#FFFFFF
31,2,#FFFFFF
32,2,#FFFFFF
33,2,#FFFFFF
34,2,#FFFFFF
35,2,#FFFFFF
36,2,#FFFFFF
37,2,#FFFFFF
38,2,#FFFFFF
39,2,#FFFFFF
40,2,#FFFFFF
41,2,#FFFFFF
42,2,#FFFFFF
43,2,#FFFFFF
44,2,#FFFFFF
45,2,#FFFFFF
46,2,#FFFFFF
47,2,#FFFFFF
48,2,#FFFFFF
49,2,#FFFFFF
50,2,#FFFFFF
51,2,#FFFFFF
52,2,#FFFFFF
53,2,#FFFFFF
54,2,#FFFFFF
55,2,#FFFFFF
56,2,#FFFFFF
57,2,#FFFFFF
58,2,#FFFFFF
59,2,#FFFFFF
60,2,#FFFFFF
61,2,#FFFFFF
62,2,#FFFFFF
63,2,#FFFFFF
0,3,#FFFFFF
1,3,#FFFFFF
2,3,#FFFFFF
3,3,#FFFFFF
4,3,#FFFFFF
5,3,#FFFFFF
6,3,#FFFFFF
7,3,#FFFFFF
8,3,#FFFFFF
9,3,#FFFFFF
10,3,#FFFFFF
11,3,#FFFFFF
12,3,#FFFFFF
13,3,#FFFFFF
14,3,#FFFFFF
15,3,#FFFFFF
16,3,#FFFFFF
17,3,#FFFFFF
18,3,#FFFFFF
19,3,#FFFFFF
20,3,#FFFFFF
21,3,#FFFFFF
22,3,#FFFFFF
23,3,#FFFFFF
24,3,#FFFFFF
25,3,#FFFFFF
26,3,#FFFFFF
27,3,#FFFFFF
28,3,#FFFFFF
29,3,#FFFFFF
30,3,#FFFFFF
31,3,#FFFFFF
32,3,#FFFFFF
33,3,#FFFFFF
34,3,#FFFFFF
35,3,#FFFFFF
36,3,#FFFFFF
37,3,#FFFFFF
38,3,#FFFFFF
39,3,#FFFFFF
40,3,#FFFFFF
41,3,#FFFFFF
42,3,#FFFFFF
43,3,#FFFFFF
44,3,#FFFFFF
45,3,#FFFFFF
46,3,#FFFFFF
47,3,#FFFFFF
48,3,#FFFFFF
49,3,#FFFFFF
50,3,#FFFFFF
51,3,#FFFFFF
52,3,#FFFFFF
53,3,#FFFFFF
54,3,#FFFFFF
55,3,#FFFFFF
56,3,#FFFFFF
57,3,#FFFFFF
58,3,#FFFFFF
59,3,#FFFFFF
60,3,#FFFFFF
61,3,#FFFFFF
62,3,#FFFFFF
63,3,#FFFFFF
0,4,#FFFFFF
1,4,#FFFFFF
2,4,#FFFFFF
3,4,#FFFFFF
4,4,#FFFFFF
5,4,#FFFFFF
6,4,#FFFFFF
7,4,#FFFFFF
8,4,#FFFFFF
9,4,#FFFFFF
10,4,#FFFFFF
11,4,#FFFFFF
12,4,#FFFFFF
13,4,#FFFFFF
14,4,#FFFFFF
15,4,#FFFFFF
16,4,#FFFFFF
17,4,#FFFFFF
18,4,#FFFFFF
19,4,#FFFFFF
20,4,#FFFFFF
21,4,#FFFFFF
22,4,#FFFFFF
23,4,#FFFFFF
24,4,#FFFFFF
25,4,#FFFFFF
26,4,#FFFFFF
27,4,#FFFFFF
28,4,#FFFFFF
29,4,#FFFFFF
30,4,#FFFFFF
31,4,#FFFFFF
32,4,#FFFFFF
33,4,#FFFFFF
34,4,#FFFFFF
35,4,#FFFFFF
36,4,#FFFFFF
37,4,#FFFFFF
38,4,#FFFFFF
39,4,#FFFFFF
40,4,#FFFFFF
41,4,#FFFFFF
42,4,#FFFFFF
43,4,#FFFFFF
44,4,#FFFFFF
45,4,#FFFFFF
46,4,#FFFFFF
47,4,#FFFFFF
48,4,#FFFFFF
49,4,#FFFFFF
50,4,#FFFFFF
51,4,#FFFFFF
52,4,#FFFFFF
53,4,#FFFFFF
54,4,#FFFFFF
55,4,#FFFFFF
56,4,#FFFFFF
57,4,#FFFFFF
58,4,#FFFFFF
59,4,#FFFFFF
60,4,#FFFFFF
61,4,#FFFFFF
62,4,#FFFFFF
63,4,#FFFFFF
0,5,#FFFFFF
1,5,#FFFFFF
2,5,#FFFFFF
3,5,#FFFFFF
4,5,#FFFFFF
5,5,#FFFFFF
6,5,#FFFFFF
7,5,#FFFFFF
8,5,#FFFFFF
9,5,#FFFFFF
10,5,#FFFFFF
11,5,#FFFFFF
12,5,#FFFFFF
13,5,#FFFFFF
14,5,#FFFFFF
15,5,#FFFFFF
16,5,#FFFFFF
17,5,#FFFFFF
18,5,#FFFFFF
19,5,#FFFFFF
20,5,#FFFFFF
21,5,#FFFFFF
22,5,#FFFFFF
23,5,#FFFFFF
24,5,#FFFFFF
25,5,#FFFFFF
26,5,#FFFFFF
27,5,#FFFFFF
28,5,#FFFFFF
29,5,#FFFFFF
30,5,#FFFFFF
31,5,#FFFFFF
32,5,#FFFFFF
33,5,#FFFFFF
34,5,#FFFFFF
35,5,#FFFFFF
36,5,#FFFFFF
37,5,#FFFFFF
38,5,#FFFFFF
39,5,#FFFFFF
40,5,#FFFFFF
41,5,#FFFFFF
42,5,#FFFFFF
43,5,#FFFFFF
44,5,#FFFFFF
45,5,#FFFFFF
46,5,#FFFFFF
47,5,#FFFFFF
48,5,#FFFFFF
49,5,#FFFFFF
50,5,#FFFFFF
51,5,#FFFFFF
52,5,#FFFFFF
53,5,#FFFFFF
54,5,#FFFFFF
55,5,#FFFFFF
56,5,#FFFFFF
57,5,#FFFFFF
58,5,#FFFFFF
59,5,#FFFFFF
60,5,#FFFFFF
61,5,#FFFFFF
62,5,#FFFFFF
63,5,#FFFFFF
0,6,#FFFFFF
1,6,#FFFFFF
2,6,#FFFFFF
3,6,#FFFFFF
4,6,#FFFFFF
5,6,#FFFFFF
6,6,#FFFFFF
7,6,#FFFFFF
8,6,#FFFFFF
9,6,#FFFFFF
10,6,#FFFFFF
11,6,#FFFFFF
12,6,#FFFFFF
13,6,#FFFFFF
14,6,#FFFFFF
15,6,#FFFFFF
16,6,#FFFFFF
17,6,#FFFFFF
18,6,#FFFFFF
19,6,#FFFFFF
20,6,#FFFFFF
21,6,#FFFFFF
22,6,#FFFFFF
23,6,#FFFFFF
24,6,#FFFFFF
25,6,#FFFFFF
26,6,#FFFFFF
